Date,Country,Product,Age Group,Sales
2024-01-03,USA,Food,20-29,49
2024-01-03,USA,Food,30-39,28
2024-01-03,USA,Food,40-49,36
2024-01-03,USA,Food,50-59,92
2024-01-03,USA,Food,60+,0
2024-01-03,USA,Furniture,20-29,28
2024-01-03,USA,Furniture,30-39,76
2024-01-03,USA,Furniture,40-49,7
2024-01-03,USA,Furniture,50-59,61
2024-01-03,USA,Furniture,60+,88
2024-01-03,USA,Toys,20-29,50
2024-01-03,USA,Toys,30-39,79
2024-01-03,USA,Toys,40-49,16
2024-01-03,USA,Toys,50-59,65
2024-01-03,USA,Toys,60+,68
2024-01-03,South Korea,Electronics,20-29,20
2024-01-03,South Korea,Electronics,30-39,56
2024-01-03,South Korea,Electronics,40-49,11
2024-01-03,South Korea,Electronics,50-59,81
2024-01-03,South Korea,Electronics,60+,97
2024-01-03,South Korea,Clothing,20-29,28
2024-01-03,South Korea,Clothing,30-39,18
2024-01-03,South Korea,Clothing,40-49,62
2024-01-03,South Korea,Clothing,50-59,8
2024-01-03,South Korea,Clothing,60+,49
2024-01-03,South Korea,Food,20-29,92
2024-01-03,South Korea,Food,30-39,15
2024-01-03,South Korea,Food,40-49,85
2024-01-03,South Korea,Food,50-59,78
2024-01-03,South Korea,Food,60+,9
2024-01-03,South Korea,Furniture,20-29,11
2024-01-03,South Korea,Furniture,30-39,26
2024-01-03,South Korea,Furniture,40-49,50
2024-01-03,South Korea,Furniture,50-59,20
2024-01-03,South Korea,Furniture,60+,2
2024-01-03,South Korea,Toys,20-29,88
2024-01-03,South Korea,Toys,30-39,88
2024-01-03,South Korea,Toys,40-49,11
2024-01-03,South Korea,Toys,50-59,4
2024-01-03,South Korea,Toys,60+,33
2024-01-03,Germany,Electronics,20-29,5
2024-01-03,Germany,Electronics,30-39,0
2024-01-03,Germany,Electronics,40-49,9
2024-01-03,Germany,Electronics,50-59,10
2024-01-03,Germany,Electronics,60+,1
2024-01-03,Germany,Clothing,20-29,40
2024-01-03,Germany,Clothing,30-39,36
2024-01-03,Germany,Clothing,40-49,86
2024-01-03,Germany,Clothing,50-59,64
2024-01-03,Germany,Clothing,60+,69
2024-01-03,Germany,Food,20-29,55
2024-01-03,Germany,Food,30-39,62
2024-01-03,Germany,Food,40-49,59
2024-01-03,Germany,Food,50-59,54
2024-01-03,Germany,Food,60+,13
2024-01-03,Germany,Furniture,20-29,68
2024-01-03,Germany,Furniture,30-39,44
2024-01-03,Germany,Furniture,40-49,66
2024-01-03,Germany,Furniture,50-59,62
2024-01-03,Germany,Furniture,60+,43
2024-01-03,Germany,Toys,20-29,35
2024-01-03,Germany,Toys,30-39,62
2024-01-03,Germany,Toys,40-49,57
2024-01-03,Germany,Toys,50-59,53
2024-01-03,Germany,Toys,60+,75
2024-01-03,Japan,Electronics,20-29,95
2024-01-03,Japan,Electronics,30-39,95
2024-01-03,Japan,Electronics,40-49,83
2024-01-03,Japan,Electronics,50-59,5
2024-01-03,Japan,Electronics,60+,53
2024-01-03,Japan,Clothing,20-29,30
2024-01-03,Japan,Clothing,30-39,51
2024-01-03,Japan,Clothing,40-49,86
2024-01-03,Japan,Clothing,50-59,8
2024-01-03,Japan,Clothing,60+,94
2024-01-03,Japan,Food,20-29,38
2024-01-03,Japan,Food,30-39,47
2024-01-03,Japan,Food,40-49,64
2024-01-03,Japan,Food,50-59,85
2024-01-03,Japan,Food,60+,52
2024-01-03,Japan,Furniture,20-29,66
2024-01-03,Japan,Furniture,30-39,8
2024-01-03,Japan,Furniture,40-49,24
2024-01-03,Japan,Furniture,50-59,99
2024-01-03,Japan,Furniture,60+,2
2024-01-03,Japan,Toys,20-29,27
2024-01-03,Japan,Toys,30-39,81
2024-01-03,Japan,Toys,40-49,57
2024-01-03,Japan,Toys,50-59,1
2024-01-03,Japan,Toys,60+,27
2024-01-03,India,Electronics,20-29,92
2024-01-03,India,Electronics,30-39,46
2024-01-03,India,Electronics,40-49,48
2024-01-03,India,Electronics,50-59,9
2024-01-03,India,Electronics,60+,72
2024-01-03,India,Clothing,20-29,16
2024-01-03,India,Clothing,30-39,24
2024-01-03,India,Clothing,40-49,90
2024-01-03,India,Clothing,50-59,5
2024-01-03,India,Clothing,60+,92
2024-01-03,India,Food,20-29,85
2024-01-03,India,Food,30-39,9
2024-01-03,India,Food,40-49,66
2024-01-03,India,Food,50-59,2
2024-01-03,India,Food,60+,67
2024-01-03,India,Furniture,20-29,8
2024-01-03,India,Furniture,30-39,58
2024-01-03,India,Furniture,40-49,69
2024-01-03,India,Furniture,50-59,26
2024-01-03,India,Furniture,60+,95
2024-01-03,India,Toys,20-29,81
2024-01-03,India,Toys,30-39,23
2024-01-03,India,Toys,40-49,81
2024-01-03,India,Toys,50-59,42
2024-01-03,India,Toys,60+,76
2024-01-04,USA,Electronics,20-29,65
2024-01-04,USA,Electronics,30-39,22
2024-01-04,USA,Electronics,40-49,63
2024-01-04,USA,Electronics,50-59,86
2024-01-04,USA,Electronics,60+,18
2024-01-04,USA,Clothing,20-29,22
2024-01-04,USA,Clothing,30-39,44
2024-01-04,USA,Clothing,40-49,65
2024-01-04,USA,Clothing,50-59,7
2024-01-04,USA,Clothing,60+,24
2024-01-04,USA,Food,20-29,94
2024-01-04,USA,Food,30-39,7
2024-01-04,USA,Food,40-49,28
2024-01-04,USA,Food,50-59,26
2024-01-04,USA,Food,60+,39
2024-01-04,USA,Furniture,20-29,71
2024-01-04,USA,Furniture,30-39,86
2024-01-04,USA,Furniture,40-49,27
2024-01-04,USA,Furniture,50-59,93
2024-01-04,USA,Furniture,60+,28
2024-01-04,USA,Toys,20-29,4
2024-01-04,USA,Toys,30-39,77
2024-01-04,USA,Toys,40-49,98
2024-01-04,USA,Toys,50-59,35
2024-01-04,USA,Toys,60+,32
2024-01-04,South Korea,Electronics,20-29,47
2024-01-04,South Korea,Electronics,30-39,72
2024-01-04,South Korea,Electronics,40-49,53
2024-01-04,South Korea,Electronics,50-59,92
2024-01-04,South Korea,Electronics,60+,1
2024-01-04,South Korea,Clothing,20-29,76
2024-01-04,South Korea,Clothing,30-39,66
2024-01-04,South Korea,Clothing,40-49,24
2024-01-04,South Korea,Clothing,50-59,90
2024-01-04,South Korea,Clothing,60+,20
2024-01-04,South Korea,Food,20-29,54
2024-01-04,South Korea,Food,30-39,13
2024-01-04,South Korea,Food,40-49,87
2024-01-04,South Korea,Food,50-59,26
2024-01-04,South Korea,Food,60+,24
2024-01-04,South Korea,Furniture,20-29,42
2024-01-04,South Korea,Furniture,30-39,40
2024-01-04,South Korea,Furniture,40-49,18
2024-01-04,South Korea,Furniture,50-59,63
2024-01-04,South Korea,Furniture,60+,66
2024-01-04,South Korea,Toys,20-29,5
2024-01-04,South Korea,Toys,30-39,3
2024-01-04,South Korea,Toys,40-49,53
2024-01-04,South Korea,Toys,50-59,35
2024-01-04,South Korea,Toys,60+,18
2024-01-04,Germany,Electronics,20-29,99
2024-01-04,Germany,Electronics,30-39,85
2024-01-04,Germany,Electronics,40-49,41
2024-01-04,Germany,Electronics,50-59,3
2024-01-04,Germany,Electronics,60+,80
2024-01-04,Germany,Clothing,20-29,12
2024-01-04,Germany,Clothing,30-39,30
2024-01-04,Germany,Clothing,40-49,51
2024-01-04,Germany,Clothing,50-59,92
2024-01-04,Germany,Clothing,60+,26
2024-01-04,Germany,Food,20-29,45
2024-01-04,Germany,Food,30-39,9
2024-01-04,Germany,Food,40-49,84
2024-01-04,Germany,Food,50-59,23
2024-01-04,Germany,Food,60+,33
2024-01-04,Germany,Furniture,20-29,72
2024-01-04,Germany,Furniture,30-39,20
2024-01-04,Germany,Furniture,40-49,92
2024-01-04,Germany,Furniture,50-59,52
2024-01-04,Germany,Furniture,60+,33
2024-01-04,Germany,Toys,20-29,40
2024-01-04,Germany,Toys,30-39,37
2024-01-04,Germany,Toys,40-49,76
2024-01-04,Germany,Toys,50-59,31
2024-01-04,Germany,Toys,60+,10
2024-01-04,Japan,Electronics,20-29,43
2024-01-04,Japan,Electronics,30-39,30
2024-01-04,Japan,Electronics,40-49,93
2024-01-04,Japan,Electronics,50-59,89
2024-01-04,Japan,Electronics,60+,74
2024-01-04,Japan,Clothing,20-29,13
2024-01-04,Japan,Clothing,30-39,72
2024-01-04,Japan,Clothing,40-49,82
2024-01-04,Japan,Clothing,50-59,33
2024-01-04,Japan,Clothing,60+,51
2024-01-04,Japan,Food,20-29,63
2024-01-04,Japan,Food,30-39,97
2024-01-04,Japan,Food,40-49,37
2024-01-04,Japan,Food,50-59,18
2024-01-04,Japan,Food,60+,38
2024-01-04,Japan,Furniture,20-29,75
2024-01-04,Japan,Furniture,30-39,30
2024-01-04,Japan,Furniture,40-49,30
2024-01-04,Japan,Furniture,50-59,94
2024-01-04,Japan,Furniture,60+,7
2024-01-04,Japan,Toys,20-29,37
2024-01-04,Japan,Toys,30-39,56
2024-01-04,Japan,Toys,40-49,8
2024-01-04,Japan,Toys,50-59,6
2024-01-04,Japan,Toys,60+,11
2024-01-04,India,Electronics,20-29,40
2024-01-04,India,Electronics,30-39,18
2024-01-04,India,Electronics,40-49,1
2024-01-04,India,Electronics,50-59,79
2024-01-04,India,Electronics,60+,5
2024-01-04,India,Clothing,20-29,21
2024-01-04,India,Clothing,30-39,78
2024-01-04,India,Clothing,40-49,89
2024-01-04,India,Clothing,50-59,89
2024-01-04,India,Clothing,60+,48
2024-01-04,India,Food,20-29,36
2024-01-04,India,Food,30-39,59
2024-01-04,India,Food,40-49,40
2024-01-04,India,Food,50-59,32
2024-01-04,India,Food,60+,27
2024-01-04,India,Furniture,20-29,73
2024-01-04,India,Furniture,30-39,86
2024-01-04,India,Furniture,40-49,52
2024-01-04,India,Furniture,50-59,6
2024-01-04,India,Furniture,60+,62
2024-01-04,India,Toys,20-29,85
2024-01-04,India,Toys,30-39,43
2024-01-04,India,Toys,40-49,70
2024-01-04,India,Toys,50-59,22
2024-01-04,India,Toys,60+,42
2024-01-05,USA,Electronics,20-29,15
2024-01-05,USA,Electronics,30-39,16
2024-01-05,USA,Electronics,40-49,39
2024-01-05,USA,Electronics,50-59,94
2024-01-05,USA,Electronics,60+,69
2024-01-05,USA,Clothing,20-29,7
2024-01-05,USA,Clothing,30-39,74
2024-01-05,USA,Clothing,40-49,50
2024-01-05,USA,Clothing,50-59,75
2024-01-05,USA,Clothing,60+,23
2024-01-05,USA,Food,20-29,77
2024-01-05,USA,Food,30-39,14
2024-01-05,USA,Food,40-49,30
2024-01-05,USA,Food,50-59,90
2024-01-05,USA,Food,60+,30
2024-01-05,USA,Furniture,20-29,33
2024-01-05,USA,Furniture,30-39,37
2024-01-05,USA,Furniture,40-49,49
2024-01-05,USA,Furniture,50-59,11
2024-01-05,USA,Furniture,60+,3
2024-01-05,USA,Toys,20-29,74
2024-01-05,USA,Toys,30-39,18
2024-01-05,USA,Toys,40-49,30
2024-01-05,USA,Toys,50-59,74
2024-01-05,USA,Toys,60+,86
2024-01-05,South Korea,Electronics,20-29,89
2024-01-05,South Korea,Electronics,30-39,69
2024-01-05,South Korea,Electronics,40-49,16
2024-01-05,South Korea,Electronics,50-59,89
2024-01-05,South Korea,Electronics,60+,69
2024-01-05,South Korea,Clothing,20-29,38
2024-01-05,South Korea,Clothing,30-39,59
2024-01-05,South Korea,Clothing,40-49,80
2024-01-05,South Korea,Clothing,50-59,58
2024-01-05,South Korea,Clothing,60+,63
2024-01-05,South Korea,Food,20-29,13
2024-01-05,South Korea,Food,30-39,56
2024-01-05,South Korea,Food,40-49,86
2024-01-05,South Korea,Food,50-59,49
2024-01-05,South Korea,Food,60+,33
2024-01-05,South Korea,Furniture,20-29,98
2024-01-05,South Korea,Furniture,30-39,72
2024-01-05,South Korea,Furniture,40-49,42
2024-01-05,South Korea,Furniture,50-59,46
2024-01-05,South Korea,Furniture,60+,44
2024-01-05,South Korea,Toys,20-29,13
2024-01-05,South Korea,Toys,30-39,96
2024-01-05,South Korea,Toys,40-49,29
2024-01-05,South Korea,Toys,50-59,95
2024-01-05,South Korea,Toys,60+,52
2024-01-05,Germany,Electronics,20-29,16
2024-01-05,Germany,Electronics,30-39,25
2024-01-05,Germany,Electronics,40-49,19
2024-01-05,Germany,Electronics,50-59,73
2024-01-05,Germany,Electronics,60+,63
2024-01-05,Germany,Clothing,20-29,62
2024-01-05,Germany,Clothing,30-39,85
2024-01-05,Germany,Clothing,40-49,61
2024-01-05,Germany,Clothing,50-59,41
2024-01-05,Germany,Clothing,60+,18
2024-01-05,Germany,Food,20-29,76
2024-01-05,Germany,Food,30-39,50
2024-01-05,Germany,Food,40-49,0
2024-01-05,Germany,Food,50-59,53
2024-01-05,Germany,Food,60+,15
2024-01-05,Germany,Furniture,20-29,92
2024-01-05,Germany,Furniture,30-39,71
2024-01-05,Germany,Furniture,40-49,68
2024-01-05,Germany,Furniture,50-59,46
2024-01-05,Germany,Furniture,60+,33
2024-01-05,Germany,Toys,20-29,48
2024-01-05,Germany,Toys,30-39,25
2024-01-05,Germany,Toys,40-49,93
2024-01-05,Germany,Toys,50-59,92
2024-01-05,Germany,Toys,60+,77
2024-01-05,Japan,Electronics,20-29,61
2024-01-05,Japan,Electronics,30-39,38
2024-01-05,Japan,Electronics,40-49,21
2024-01-05,Japan,Electronics,50-59,37
2024-01-05,Japan,Electronics,60+,62
2024-01-05,Japan,Clothing,20-29,29
2024-01-05,Japan,Clothing,30-39,69
2024-01-05,Japan,Clothing,40-49,54
2024-01-05,Japan,Clothing,50-59,66
2024-01-05,Japan,Clothing,60+,26
2024-01-05,Japan,Food,20-29,37
2024-01-05,Japan,Food,30-39,5
2024-01-05,Japan,Food,40-49,85
2024-01-05,Japan,Food,50-59,15
2024-01-05,Japan,Food,60+,56
2024-01-05,Japan,Furniture,20-29,9
2024-01-05,Japan,Furniture,30-39,29
2024-01-05,Japan,Furniture,40-49,13
2024-01-05,Japan,Furniture,50-59,5
2024-01-05,Japan,Furniture,60+,73
2024-01-05,Japan,Toys,20-29,66
2024-01-05,Japan,Toys,30-39,7
2024-01-05,Japan,Toys,40-49,98
2024-01-05,Japan,Toys,50-59,18
2024-01-05,Japan,Toys,60+,12
2024-01-05,India,Electronics,20-29,71
2024-01-05,India,Electronics,30-39,16
2024-01-05,India,Electronics,40-49,48
2024-01-05,India,Electronics,50-59,8
2024-01-05,India,Electronics,60+,71
2024-01-05,India,Clothing,20-29,78
2024-01-05,India,Clothing,30-39,71
2024-01-05,India,Clothing,40-49,92
2024-01-05,India,Clothing,50-59,83
2024-01-05,India,Clothing,60+,39
2024-01-05,India,Food,20-29,4
2024-01-05,India,Food,30-39,27
2024-01-05,India,Food,40-49,22
2024-01-05,India,Food,50-59,30
2024-01-05,India,Food,60+,32
2024-01-05,India,Furniture,20-29,94
2024-01-05,India,Furniture,30-39,83
2024-01-05,India,Furniture,40-49,36
2024-01-05,India,Furniture,50-59,33
2024-01-05,India,Furniture,60+,77
2024-01-05,India,Toys,20-29,96
2024-01-05,India,Toys,30-39,65
2024-01-05,India,Toys,40-49,23
2024-01-05,India,Toys,50-59,13
2024-01-05,India,Toys,60+,35
2024-01-06,USA,Electronics,20-29,41
2024-01-06,USA,Electronics,30-39,86
2024-01-06,USA,Electronics,40-49,58
2024-01-06,USA,Electronics,50-59,37
2024-01-06,USA,Electronics,60+,33
2024-01-06,USA,Clothing,20-29,45
2024-01-06,USA,Clothing,30-39,84
2024-01-06,USA,Clothing,40-49,11
2024-01-06,USA,Clothing,50-59,88
2024-01-06,USA,Clothing,60+,58
2024-01-06,USA,Food,20-29,16
2024-01-06,USA,Food,30-39,70
2024-01-06,USA,Food,40-49,99
2024-01-06,USA,Food,50-59,47
2024-01-06,USA,Food,60+,92
2024-01-06,USA,Furniture,20-29,29
2024-01-06,USA,Furniture,30-39,61
2024-01-06,USA,Furniture,40-49,21
2024-01-06,USA,Furniture,50-59,73
2024-01-06,USA,Furniture,60+,25
2024-01-06,USA,Toys,20-29,21
2024-01-06,USA,Toys,30-39,76
2024-01-06,USA,Toys,40-49,89
2024-01-06,USA,Toys,50-59,18
2024-01-06,USA,Toys,60+,54
2024-01-06,South Korea,Electronics,20-29,5
2024-01-06,South Korea,Electronics,30-39,15
2024-01-06,South Korea,Electronics,40-49,53
2024-01-06,South Korea,Electronics,50-59,33
2024-01-06,South Korea,Electronics,60+,70
2024-01-06,South Korea,Clothing,20-29,56
2024-01-06,South Korea,Clothing,30-39,7
2024-01-06,South Korea,Clothing,40-49,29
2024-01-06,South Korea,Clothing,50-59,24
2024-01-06,South Korea,Clothing,60+,51
2024-01-06,South Korea,Food,20-29,5
2024-01-06,South Korea,Food,30-39,23
2024-01-06,South Korea,Food,40-49,84
2024-01-06,South Korea,Food,50-59,22
2024-01-06,South Korea,Food,60+,2
2024-01-06,South Korea,Furniture,20-29,28
2024-01-06,South Korea,Furniture,30-39,12
2024-01-06,South Korea,Furniture,40-49,52
2024-01-06,South Korea,Furniture,50-59,63
2024-01-06,South Korea,Furniture,60+,82
